neighbors,dot,wall,loop,manhatan,path,panic_dist,wall_rate,depth,randomes,probability,Average,Max,Min,WinRate,Time
2,7,2,7,15,10,1,0.1,3,True,0.7,512.7,762,144,0.0,0.011650937499996416
2,7,2,7,15,10,1,0.1,5,True,0.7,385.1,866,100,0.0,0.05776664579999533
2,7,2,7,15,10,1,0.1,8,True,0.7,289.7,572,78,0.0,0.8310755250000057
2,7,6,7,5,3,1,0.1,3,True,0.7,517.0,759,182,0.0,0.012984787499999585
2,7,6,7,5,3,1,0.1,5,True,0.7,319.1,591,96,0.0,0.050840212499997504
2,7,6,7,5,3,1,0.1,8,True,0.7,359.8,643,15,0.0,1.212694933299997
2,7,6,7,5,7,1,0.1,3,True,0.7,472.9,935,71,0.0,0.012318725000000086
2,7,6,7,5,7,1,0.1,5,True,0.7,262.8,776,29,0.0,0.04730625409999902
2,7,6,7,5,7,1,0.1,8,True,0.7,314.8,796,35,0.0,0.8265083874999959
2,7,6,7,5,10,1,0.1,3,True,0.7,360.2,700,132,0.0,0.008880766699996911
2,7,6,7,5,10,1,0.1,5,True,0.7,419.5,792,39,0.0,0.075164904199994
2,7,6,7,5,10,1,0.1,8,True,0.7,416.3,787,15,0.0,1.4081327542000053
2,7,6,7,9,3,1,0.1,3,True,0.7,274.4,580,79,0.0,0.0060736958999996205
2,7,6,7,9,3,1,0.1,5,True,0.7,335.1,728,32,0.0,0.05626875839999457
2,7,6,7,9,3,1,0.1,8,True,0.7,201.9,510,31,0.0,0.5275513292000028
2,7,6,7,9,7,1,0.1,3,True,0.7,364.4,812,64,0.0,0.01735372919999918
2,7,6,7,9,7,1,0.1,5,True,0.7,449.7,856,23,0.0,0.07353362500000457
2,7,6,7,9,7,1,0.1,8,True,0.7,149.0,418,15,0.0,0.3431864166999958
2,7,6,7,9,10,1,0.1,3,True,0.7,297.4,530,150,0.0,0.00597170419999884
2,7,6,7,9,10,1,0.1,5,True,0.7,253.3,455,42,0.0,0.0348648709000031
2,7,6,7,9,10,1,0.1,8,True,0.7,372.4,733,39,0.0,1.4363163999999984
2,7,6,7,15,3,1,0.1,3,True,0.7,527.8,866,258,0.0,0.011942520900004184
2,7,6,7,15,3,1,0.1,5,True,0.7,183.5,395,29,0.0,0.026195591700002296
2,7,6,7,15,3,1,0.1,8,True,0.7,508.6,744,281,0.0,2.009266733300001
2,7,6,7,15,7,1,0.1,3,True,0.7,340.6,750,39,0.0,0.0069566207999969265
2,7,6,7,15,7,1,0.1,5,True,0.7,335.1,650,44,0.0,0.0584025792000034
2,7,6,7,15,7,1,0.1,8,True,0.7,357.5,753,28,0.0,1.1507781625000006
2,7,6,7,15,10,1,0.1,3,True,0.7,291.1,683,40,0.0,0.008576212499997382
2,7,6,7,15,10,1,0.1,5,True,0.7,404.7,683,81,0.0,0.06754132920000303
2,7,6,7,15,10,1,0.1,8,True,0.7,328.7,695,57,0.0,0.9676522791000025
2,10,2,3,5,3,1,0.1,3,True,0.7,371.5,692,105,0.0,0.011111670899992987
2,10,2,3,5,3,1,0.1,5,True,0.7,289.8,672,31,0.0,0.04079380419999552
2,10,2,3,5,3,1,0.1,8,True,0.7,325.6,820,31,0.0,1.1808226083000022
2,10,2,3,5,7,1,0.1,3,True,0.7,464.9,798,80,0.0,0.010151591599992571
2,10,2,3,5,7,1,0.1,5,True,0.7,398.6,757,144,0.0,0.057665187500003864
2,10,2,3,5,7,1,0.1,8,True,0.7,416.1,711,39,0.0,1.486190929199995
2,10,2,3,5,10,1,0.1,3,True,0.7,403.8,672,15,0.0,0.010688808400004746
2,10,2,3,5,10,1,0.1,5,True,0.7,455.0,924,22,0.0,0.07566913749999457
2,10,2,3,5,10,1,0.1,8,True,0.7,423.8,773,64,0.0,1.8442830458999993
2,10,2,3,9,3,1,0.1,3,True,0.7,419.1,723,110,0.0,0.0094793750000008
2,10,2,3,9,3,1,0.1,5,True,0.7,352.7,743,24,0.0,0.05784637909999901
2,10,2,3,9,3,1,0.1,8,True,0.7,296.8,487,111,0.0,0.7749534292000021
2,10,2,3,9,7,1,0.1,3,True,0.7,364.6,802,152,0.0,0.007892362500001582
2,10,2,3,9,7,1,0.1,5,True,0.7,412.9,876,23,0.0,0.061359629100002165
2,10,2,3,9,7,1,0.1,8,True,0.7,317.6,664,39,0.0,0.9792506000000003
2,10,2,3,9,10,1,0.1,3,True,0.7,446.1,874,239,0.0,0.012591925000003812
2,10,2,3,9,10,1,0.1,5,True,0.7,331.6,504,99,0.0,0.04806649999999309
2,10,2,3,9,10,1,0.1,8,True,0.7,280.8,623,31,0.0,0.8184820833000004
2,10,2,3,15,3,1,0.1,3,True,0.7,464.0,802,62,0.0,0.014523783300001014
2,10,2,3,15,3,1,0.1,5,True,0.7,270.1,632,19,0.0,0.04347427919999518
2,10,2,3,15,3,1,0.1,8,True,0.7,302.4,493,82,0.0,1.0398697125000012
2,10,2,3,15,7,1,0.1,3,True,0.7,461.7,847,96,0.0,0.011243450000006306
2,10,2,3,15,7,1,0.1,5,True,0.7,317.1,592,145,0.0,0.05864971249999371
2,10,2,3,15,7,1,0.1,8,True,0.7,220.7,523,29,0.0,0.679305187500006
2,10,2,3,15,10,1,0.1,3,True,0.7,333.8,802,65,0.0,0.0067711166999970375
2,10,2,3,15,10,1,0.1,5,True,0.7,357.4,746,76,0.0,0.09028540830000793
2,10,2,3,15,10,1,0.1,8,True,0.7,307.9,695,38,0.0,0.9666258583000058
2,10,6,3,5,3,1,0.1,3,True,0.7,410.6,625,143,0.0,0.008692370799997207
2,10,6,3,5,3,1,0.1,5,True,0.7,395.8,784,43,0.0,0.0719857834000095
2,10,6,3,5,3,1,0.1,8,True,0.7,287.7,570,42,0.0,0.8651125334000085
2,10,6,3,5,7,1,0.1,3,True,0.7,428.6,754,28,0.0,0.009871020800005681
2,10,6,3,5,7,1,0.1,5,True,0.7,463.0,746,63,0.0,0.07544979580000018
2,10,6,3,5,7,1,0.1,8,True,0.7,431.5,806,184,0.0,1.2802312790999963
2,10,6,3,5,10,1,0.1,3,True,0.7,350.6,804,101,0.0,0.008142516700002034
2,10,6,3,5,10,1,0.1,5,True,0.7,369.2,671,39,0.0,0.057393945799992706
2,10,6,3,5,10,1,0.1,8,True,0.7,286.5,769,23,0.0,0.8413050207999959
2,10,6,3,9,3,1,0.1,3,True,0.7,395.9,750,23,0.0,0.009321995900006642
2,10,6,3,9,3,1,0.1,5,True,0.7,367.8,628,31,0.0,0.05634862079999721
2,10,6,3,9,3,1,0.1,8,True,0.7,402.5,724,37,0.0,1.400743670899999
2,10,6,3,9,7,1,0.1,3,True,0.7,295.5,854,13,0.0,0.007663316700006817
2,10,6,3,9,7,1,0.1,5,True,0.7,405.9,702,24,0.0,0.0704701249999971
2,10,6,3,9,7,1,0.1,8,True,0.7,411.5,722,102,0.0,1.5849507708000032
2,10,6,3,9,10,1,0.1,3,True,0.7,460.8,717,88,0.0,0.014752279199990425
2,10,6,3,9,10,1,0.1,5,True,0.7,277.4,668,61,0.0,0.06990357500000073
2,10,6,3,9,10,1,0.1,8,True,0.7,424.2,663,129,0.0,1.4592559416000086
2,10,6,3,15,3,1,0.1,3,True,0.7,445.9,831,55,0.1,0.01473009579999598
2,10,6,3,15,3,1,0.1,5,True,0.7,490.6,797,244,0.0,0.08803115840000827
2,10,6,3,15,3,1,0.1,8,True,0.7,213.7,462,34,0.0,0.6017207749999898
2,10,6,3,15,7,1,0.1,3,True,0.7,437.1,782,253,0.0,0.010735041699990688
2,10,6,3,15,7,1,0.1,5,True,0.7,425.5,750,145,0.1,0.11221133750000263
2,10,6,3,15,7,1,0.1,8,True,0.7,308.9,686,31,0.0,1.101271500000007
2,10,6,3,15,10,1,0.1,3,True,0.7,427.9,722,196,0.0,0.01238877499999944
2,10,6,3,15,10,1,0.1,5,True,0.7,246.6,747,24,0.0,0.045202704200005425
2,10,6,3,15,10,1,0.1,8,True,0.7,325.7,638,110,0.0,0.9417288874999941
2,10,2,7,5,3,1,0.1,3,True,0.7,352.7,685,35,0.0,0.010445916599996963
2,10,2,7,5,3,1,0.1,5,True,0.7,399.0,782,55,0.0,0.11304028340000513
2,10,2,7,5,3,1,0.1,8,True,0.7,357.7,799,36,0.0,1.2280706208999845
2,10,2,7,5,7,1,0.1,3,True,0.7,660.9,833,318,0.0,0.02104538329999741
2,10,2,7,5,7,1,0.1,5,True,0.7,311.1,750,36,0.0,0.05020832500001689
2,10,2,7,5,7,1,0.1,8,True,0.7,417.2,654,112,0.0,1.3640694917000018
2,10,2,7,5,10,1,0.1,3,True,0.7,236.7,725,15,0.0,0.005184512499999983
2,10,2,7,5,10,1,0.1,5,True,0.7,428.9,716,224,0.0,0.09699284159999025
2,10,2,7,5,10,1,0.1,8,True,0.7,269.1,543,15,0.0,0.7232603208
